,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_8,V5_1_1,V5_1_2,OTU.ID
721,OTU1113,391,1,391,1735,550,945,100,322,9.66e-87,81.886,d:Obazoa,p:Opisthokonta-Choanoflagellata,c:Choanoflagellatea,o:Craspedida,f:Monosigidae_Group_A,g:Monosiga,s:Monosiga_brevicollis,KF130382.1.1735_U;tax,k:Eukaryota,OTU1113.p:Opisthokonta-Choanoflagellata.g:Monosiga
722,OTU1121,404,1,404,989,475,889,100,435,1.23e-120,86.091,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,EU545726.1.989_U;tax,k:Eukaryota,OTU1121.p:Evosea-Evosea_X.g:Variosea_XXX
723,OTU1123,400,1,400,1605,531,925,100,507,2.55e-142,90,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:Nolandellidae,g:Nolandellidae_X,s:Nolandellidae_X_sp,AF372795.1.1605_U;tax,k:Eukaryota,OTU1123.p:Tubulinea-Tubulinea_X.g:Nolandellidae_X
724,OTU1127,394,1,394,1346,572,965,100,689,0,98.223,d:TSAR,p:Stramenopiles-Bigyra,c:Bicoecea,o:Pseudodendromonadales,f:Pseudodendromonadales_X,g:Pseudodendromonadales_XX,s:Pseudodendromonadales_XX_sp,AY642710.1.1346_U;tax,k:Eukaryota,OTU1127.p:Stramenopiles-Bigyra.g:Pseudodendromonadales_XX
725,OTU1128,392,1,392,1655,526,919,100,599,4e-170,94.177,d:TSAR,p:Stramenopiles-Bigyra,c:Bicoecea,o:Pseudodendromonadales,f:Pseudodendromonadales_X,g:Pseudodendromonadales_XX,s:Pseudodendromonadales_XX_sp,AB721079.1.1655_U;tax,k:Eukaryota,OTU1128.p:Stramenopiles-Bigyra.g:Pseudodendromonadales_XX
726,OTU1129,401,1,401,1748,562,957,100,702,0,98.504,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Chlorococcum,s:Chlorococcum_sp,KF791546.1.1748_U;tax,k:Eukaryota,OTU1129.p:Chlorophyta-Chlorophyta_X.g:Chlorococcum
727,OTU1131,414,1,414,1894,592,1007,100,335,1.32e-90,81.56,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:Hartmannellidae,g:Hartmannellidae_X,s:Hartmannellidae_X_sp,HQ687486.1.1894_U;tax,k:Eukaryota,OTU1131.p:Tubulinea-Tubulinea_X.g:Hartmannellidae_X
728,OTU1132,402,1,402,735,173,574,100,638,0,95.274,d:TSAR,p:Stramenopiles-Bigyra,c:Sagenista,o:Labyrinthulomycetes,f:Labyrinthulaceae,g:Labyrinthulaceae_X,s:Labyrinthulaceae_X_sp,FJ389881.1.735_U;tax,k:Eukaryota,OTU1132.p:Stramenopiles-Bigyra.g:Labyrinthulaceae_X
729,OTU1133,396,1,396,1741,555,950,100,671,0,97.222,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysophyceae,o:Ochromonadales,f:Ochromonadaceae,g:Poterioochromonas,s:Poterioochromonas_sp,EF165113.1.1741_U;tax,k:Eukaryota,OTU1133.p:Stramenopiles-Gyrista.g:Poterioochromonas
730,OTU1134,437,193,437,2034,853,1097,69,287,3.96e-76,87.805,d:Amoebozoa,p:Discosea-Discosea_X,c:Centramoebia,o:Pellitida,f:Endostelium-lineage,g:Endostelium,s:Endostelium_crystalliferum,KF705034.1.2034_U;tax,k:Eukaryota,OTU1134.p:Discosea-Discosea_X.g:Endostelium
731,OTU1135,387,1,387,1757,575,961,100,649,0,96.899,d:TSAR,p:Alveolata-Ciliophora,c:Oligohymenophorea,o:Scuticociliatia_1,f:Philasterida,g:Paralembus,s:Paralembus_digitiformis,JQ956549.1.1757_U;tax,k:Eukaryota,OTU1135.p:Alveolata-Ciliophora.g:Paralembus
732,OTU1136,390,1,390,1654,575,961,100,523,2.46e-147,91.139,d:TSAR,p:Alveolata-Apicomplexa,c:Gregarinomorphea,o:Neogregarinorida,f:Stylocephalidae,g:Xiphocephalus,s:Xiphocephalus_gigas,KU664395.1.1654_U;tax,k:Eukaryota,OTU1136.p:Alveolata-Apicomplexa.g:Xiphocephalus
733,OTU1138,432,188,432,875,27,272,57,176,8.83e-43,80,d:Obazoa,p:Opisthokonta-Opisthokonta_X,c:Opisthokonta_XX,o:Opisthokonta_XXX,f:Opisthokonta_XXXX,g:Opisthokonta_XXXXX,s:Opisthokonta_XXXXX_sp,EF674350.1.875_U;tax,k:Eukaryota,OTU1138.p:Opisthokonta-Opisthokonta_X.g:Opisthokonta_XXXXX
734,OTU1139,410,1,410,1199,11,409,100,348,1.68e-94,82.609,d:Archaeplastida,p:Streptophyta-Streptophyta_X,c:Streptophyta_XX,o:Streptophyta_XXX,f:Streptophyta_XXXX,g:Streptophyta_XXXXX,s:Streptophyta_XXXXX_sp,GU824549.1.1199_U;tax,k:Eukaryota,OTU1139.p:Streptophyta-Streptophyta_X.g:Streptophyta_XXXXX
735,OTU1140,419,1,419,1298,418,836,100,730,0,98.091,d:TSAR,p:Rhizaria-Cercozoa,c:Endomyxa-Phytomyxea,o:Plasmodiophorida,f:Polymyxa-lineage,g:Ligniera,s:Ligniera_junci,KF111227.1.1298_U;tax,k:Eukaryota,OTU1140.p:Rhizaria-Cercozoa.g:Ligniera
736,OTU1142,439,1,49,1618,565,613,11,86.1,1.56e-15,97.959,d:Cryptista,p:Cryptophyta-Cryptophyta_X,c:Cryptophyceae,o:Cryptomonadales,f:Cryptomonadales_X,g:Cryptomonas,s:Cryptomonas_sp,KC315833.1.1618_U;tax,k:Eukaryota,OTU1142.p:Cryptophyta-Cryptophyta_X.g:Cryptomonas
737,OTU1144,386,1,386,1824,608,988,100,647,0,97.15,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:Nolandellidae,g:Nolandellidae_X,s:Nolandellidae_X_sp,EF023499.1.1824_U;tax,k:Eukaryota,OTU1144.p:Tubulinea-Tubulinea_X.g:Nolandellidae_X
738,OTU1148,405,1,405,1653,495,899,100,726,0,99.012,d:TSAR,p:Stramenopiles-Gyrista,c:Peronosporomycetes,o:Peronosporomycetes_X,f:Saprolegniales,g:Aphanomyces,s:Aphanomyces_sp,FJ794894.1.1653_U;tax,k:Eukaryota,OTU1148.p:Stramenopiles-Gyrista.g:Aphanomyces
739,OTU1149,409,1,408,676,160,573,99,327,2.18e-88,81.429,d:TSAR,p:Stramenopiles-Bigyra,c:Sagenista,o:Labyrinthulomycetes,f:Amphifilaceae,g:Amphifilaceae_X,s:Amphifilaceae_X_sp,AB572139.1.676_U;tax,k:Eukaryota,OTU1149.p:Stramenopiles-Bigyra.g:Amphifilaceae_X
740,OTU1150,398,1,398,1702,534,929,100,612,5.22e-174,94.5,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Gungnir,s:Gungnir_neglectum,LC129527.1.1702_U;tax,k:Eukaryota,OTU1150.p:Chlorophyta-Chlorophyta_X.g:Gungnir
741,OTU1152,410,1,410,1860,570,980,100,481,1.59e-134,87.923,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,AB695458.1.1860_U;tax,k:Eukaryota,OTU1152.p:Evosea-Evosea_X.g:Variosea_XXX
742,OTU1153,391,145,391,1899,791,1040,79,281,1.64e-74,87.251,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Leptomyxida,f:Rhizamoeba-saxonica-lineage,g:Rhizamoeba,s:Rhizamoeba_saxonica,EU719197.1.1899_U;tax,k:Eukaryota,OTU1153.p:Tubulinea-Tubulinea_X.g:Rhizamoeba
743,OTU1154,408,1,408,1266,568,975,100,693,0,97.304,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Imbricatea,o:Euglyphida,f:Euglyphida_X,g:Euglyphida_XX,s:Euglyphida_XX_sp,AY620296.1.1266_U;tax,k:Eukaryota,OTU1154.p:Rhizaria-Cercozoa.g:Euglyphida_XX
744,OTU1155,411,1,411,1955,694,1104,100,593,1.96e-168,92.736,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Imbricatea,o:Thaumatomonadida,f:Thaumatomonadidae,g:Thaumatomonas,s:Thaumatomonas_sp,KC243111.1.1955_U;tax,k:Eukaryota,OTU1155.p:Rhizaria-Cercozoa.g:Thaumatomonas
745,OTU1156,434,1,434,1038,478,916,100,706,0,95.9,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,JN825689.1.1038_U;tax,k:Eukaryota,OTU1156.p:Evosea-Evosea_X.g:Variosea_XXX
746,OTU1157,327,1,309,562,254,562,94,560,1.55e-158,99.353,d:TSAR,p:Alveolata-Ciliophora,c:Litostomatea,o:Litostomatea_X,f:Litostomatea_XX,g:Pseudoholophrya,s:Pseudoholophrya_sp,KC207104.1.562_U;tax,k:Eukaryota,OTU1157.p:Alveolata-Ciliophora.g:Pseudoholophrya
747,OTU1158,376,1,376,2226,1038,1407,100,340,2.56e-92,83.377,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:LOS7N/I-lineage,g:Ptolemeba,s:Ptolemeba_noxubium,KJ542110.1.2226_U;tax,k:Eukaryota,OTU1158.p:Tubulinea-Tubulinea_X.g:Ptolemeba
748,OTU1159,406,1,406,1833,558,961,100,422,9.64e-117,85.575,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:WIM5-lineage,g:WIM5-lineage_X,s:WIM5-lineage_X_sp,AB695538.1.1833_U;tax,k:Eukaryota,OTU1159.p:Evosea-Evosea_X.g:WIM5-lineage_X
749,OTU1160,406,1,406,1827,596,1000,100,649,0,95.567,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Echinamoebida,o:Echinamoebida_X,f:Echinamoebidae,g:Echinamoeba,s:Echinamoeba_exundans,AF293895.1.1827_U;tax,k:Eukaryota,OTU1160.p:Tubulinea-Tubulinea_X.g:Echinamoeba
750,OTU1161,398,1,398,1754,549,947,100,464,1.55e-129,87.811,d:TSAR,p:Alveolata-Alveolata_X,c:Alveolata_XX,o:Alveolata_XXX,f:Alveolata_XXXX,g:Palustrimonas,s:Palustrimonas_yorkeensis,KT210074.1.1754_U;tax,k:Eukaryota,OTU1161.p:Alveolata-Alveolata_X.g:Palustrimonas
751,OTU1162,371,129,371,1735,689,929,65,298,1.54e-79,88.98,d:TSAR,p:Stramenopiles-Bigyra,c:Bicoecea,o:Anoecales,f:Anoecaceae,g:Anoeca,s:Anoeca_atlantica,AY520448.1.1735_U;tax,k:Eukaryota,OTU1162.p:Stramenopiles-Bigyra.g:Anoeca
752,OTU1163,404,1,404,1539,473,879,100,278,2.2e-73,79.714,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Variosea_XX,g:Variosea_XXX,s:Variosea_XXX_sp,GU479959.1.1539_U;tax,k:Eukaryota,OTU1163.p:Evosea-Evosea_X.g:Variosea_XXX
753,OTU1164,406,1,406,2313,570,973,100,621,8.86e-177,94.335,d:TSAR,p:Rhizaria-Cercozoa,c:Endomyxa,o:Filoretidae,f:Filoretidae_X,g:Filoreta,s:Filoreta_turcica,EU567292.1.2313_U;tax,k:Eukaryota,OTU1164.p:Rhizaria-Cercozoa.g:Filoreta
754,OTU1165,447,323,447,721,179,303,28,143,9.29e-33,87.2,d:Excavata,p:Discoba-Discoba_X,c:Heterolobosea,o:Tetramitia_VI,f:Tetramitia_VI_X,g:Paravahlkampfia,s:Paravahlkampfia_sp,LN585833.1.721_U;tax,k:Eukaryota,OTU1165.p:Discoba-Discoba_X.g:Paravahlkampfia
755,OTU1166,384,145,384,2226,1171,1407,63,285,1.24e-75,88.382,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:LOS7N/I-lineage,g:Ptolemeba,s:Ptolemeba_noxubium,KJ542110.1.2226_U;tax,k:Eukaryota,OTU1166.p:Tubulinea-Tubulinea_X.g:Ptolemeba
756,OTU1168,407,1,407,1565,489,895,100,719,0,98.526,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Leptomyxida,f:Leptomyxidae,g:Leptomyxa,s:Leptomyxa_regia,OM914643.1.1565_U;tax,k:Eukaryota,OTU1168.p:Tubulinea-Tubulinea_X.g:Leptomyxa
757,OTU1171,423,1,423,1613,573,991,100,717,0,97.4,d:Haptista,p:Centroplasthelida-Centroplasthelida_X,c:Pterocystida,o:Pterista,f:Heterophryidae,g:Heterophrys,s:Heterophrys_sp,AY749611.1.1613_U;tax,k:Eukaryota,OTU1171.p:Centroplasthelida-Centroplasthelida_X.g:Heterophrys
758,OTU1172,394,1,394,1656,516,910,100,529,5.35e-149,90.886,d:TSAR,p:Stramenopiles-Bigyra,c:Bicoecea,o:Pseudodendromonadales,f:Pseudodendromonadales_X,g:Pseudodendromonadales_XX,s:Pseudodendromonadales_XX_sp,AB721035.1.1656_U;tax,k:Eukaryota,OTU1172.p:Stramenopiles-Bigyra.g:Pseudodendromonadales_XX
759,OTU1173,402,1,402,735,173,574,100,588,8.89e-167,93.035,d:TSAR,p:Stramenopiles-Bigyra,c:Sagenista,o:Labyrinthulomycetes,f:Labyrinthulaceae,g:Labyrinthulaceae_X,s:Labyrinthulaceae_X_sp,FJ389881.1.735_U;tax,k:Eukaryota,OTU1173.p:Stramenopiles-Bigyra.g:Labyrinthulaceae_X
760,OTU1174,408,1,408,1605,531,925,100,425,7.49e-118,86.098,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:Nolandellidae,g:Nolandellidae_X,s:Nolandellidae_X_sp,AF372795.1.1605_U;tax,k:Eukaryota,OTU1174.p:Tubulinea-Tubulinea_X.g:Nolandellidae_X
761,OTU1175,435,183,435,2034,844,1097,72,274,3.07e-72,86.22,d:Amoebozoa,p:Discosea-Discosea_X,c:Centramoebia,o:Pellitida,f:Endostelium-lineage,g:Endostelium,s:Endostelium_crystalliferum,KF705034.1.2034_U;tax,k:Eukaryota,OTU1175.p:Discosea-Discosea_X.g:Endostelium
762,OTU1176,417,1,417,1883,578,989,100,466,4.52e-130,87.264,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Fractovitellida,f:Schizoplasmodiidae,g:Ceratiomyxella,s:Ceratiomyxella_tahitiensis,FJ544419.1.1883_U;tax,k:Eukaryota,OTU1176.p:Evosea-Evosea_X.g:Ceratiomyxella
763,OTU1177,387,1,387,1763,554,950,100,414,1.53e-114,86.07,d:TSAR,p:Stramenopiles-Bigyra,c:Bicoecea,o:Bicoecea_X,f:Bicoecea_XX,g:Bicoecea_XXX,s:Bicoecea_XXX_sp,GU170210.1.1763_U;tax,k:Eukaryota,OTU1177.p:Stramenopiles-Bigyra.g:Bicoecea_XXX
764,OTU1178,398,1,398,1756,557,958,100,473,2.57e-132,88.148,d:Archaeplastida,p:Rhodelphidia-Rhodelphidia_X,c:Rhodelphea,o:Rhodelphida,f:Rhodelphidae,g:Rhodelphis,s:Rhodelphis_marinus,MK966712.1.1756_U;tax,k:Eukaryota,OTU1178.p:Rhodelphidia-Rhodelphidia_X.g:Rhodelphis
765,OTU1179,439,198,439,1621,725,963,55,200,5.33e-50,82.041,d:TSAR,p:Stramenopiles-Gyrista,c:Mediophyceae,o:Eupodiscales,f:Odontellaceae,g:Amphitetras,s:Amphitetras_antediluviana,OP304754.1.1621_U;tax,k:Eukaryota,OTU1179.p:Stramenopiles-Gyrista.g:Amphitetras
766,OTU1183,384,1,384,1730,573,958,100,551,1.11e-155,92.545,d:TSAR,p:Alveolata-Ciliophora,c:Nassophorea,o:Nassophorea_X,f:Microthoracida,g:Microthoracida_X,s:Microthoracida_X_sp,FJ810605.1.1730_U;tax,k:Eukaryota,OTU1183.p:Alveolata-Ciliophora.g:Microthoracida_X
767,OTU1184,400,1,400,1534,363,762,100,673,0,97,d:Obazoa,p:Opisthokonta-Choanoflagellata,c:Choanoflagellatea,o:Craspedida,f:Salpingoecidae_Group_C3,g:Salpingoecidae_Group_C3_X,s:Salpingoecidae_Group_C3_X_sp,GU647190.1.1534_U;tax,k:Eukaryota,OTU1184.p:Opisthokonta-Choanoflagellata.g:Salpingoecidae_Group_C3_X
768,OTU1187,415,1,415,1869,575,989,100,623,2.52e-177,93.735,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Flamellidae,f:Flamella-lineage,g:Flamella-lineage_X,s:Flamella-lineage_X_sp,AM114809.1.1869_U;tax,k:Eukaryota,OTU1187.p:Evosea-Evosea_X.g:Flamella-lineage_X
769,OTU1190,401,1,401,1778,577,975,100,584,1.15e-165,93.069,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysophyceae,o:Ochromonadales,f:Ochromonadales_clade-XII,g:Ochromonadales_clade-XII_X,s:Ochromonadales_clade-XII_X_sp,AY082987.1.1778_U;tax,k:Eukaryota,OTU1190.p:Stramenopiles-Gyrista.g:Ochromonadales_clade-XII_X
770,OTU1191,412,1,412,1587,567,972,100,667,0,96.117,d:Haptista,p:Centroplasthelida-Centroplasthelida_X,c:Centroplasthelida_XX,o:Centroplasthelida_XXX,f:Centroplasthelida_XXXX,g:Centroplasthelida_XXXXX,s:Centroplasthelida_XXXXX_sp,JQ245081.1.1587_U;tax,k:Eukaryota,OTU1191.p:Centroplasthelida-Centroplasthelida_X.g:Centroplasthelida_XXXXX
771,OTU1193,423,1,423,1626,579,1002,100,671,0,95.294,d:Haptista,p:Centroplasthelida-Centroplasthelida_X,c:Centroplasthelida_XX,o:Centroplasthelida_XXX,f:Centroplasthelida_XXXX,g:Centroplasthelida_XXXXX,s:Centroplasthelida_XXXXX_sp,AY749550.1.1626_U;tax,k:Eukaryota,OTU1193.p:Centroplasthelida-Centroplasthelida_X.g:Centroplasthelida_XXXXX
772,OTU1194,416,1,416,1586,560,968,100,606,2.55e-172,93.285,d:Haptista,p:Centroplasthelida-Centroplasthelida_X,c:Centroplasthelida_XX,o:Centroplasthelida_XXX,f:Centroplasthelida_XXXX,g:Centroplasthelida_XXXXX,s:Centroplasthelida_XXXXX_sp,AY749539.1.1586_U;tax,k:Eukaryota,OTU1194.p:Centroplasthelida-Centroplasthelida_X.g:Centroplasthelida_XXXXX
773,OTU1195,387,1,387,1689,557,943,100,643,0,96.641,d:TSAR,p:Alveolata-Ciliophora,c:Colpodea,o:Colpodea_X,f:Platyophryida,g:Platyophryida_X,s:Platyophryida_X_sp,KJ873052.1.1689_U;tax,k:Eukaryota,OTU1195.p:Alveolata-Ciliophora.g:Platyophryida_X
774,OTU1196,365,1,365,1729,541,910,100,412,5.18e-114,87.234,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:LOS7N/I-lineage,g:Ptolemeba,s:Ptolemeba_noxubium,KJ542109.1.1729_U;tax,k:Eukaryota,OTU1196.p:Tubulinea-Tubulinea_X.g:Ptolemeba
775,OTU1197,400,1,400,1831,558,957,100,457,2.6e-127,87.561,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:AND16-lineage,g:AND16-lineage_X,s:AND16-lineage_X_sp,AY965863.1.1831_U;tax,k:Eukaryota,OTU1197.p:Evosea-Evosea_X.g:AND16-lineage_X
776,OTU1198,377,1,377,2226,1038,1407,100,307,2.6e-82,81.937,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Elardia,o:Euamoebida,f:LOS7N/I-lineage,g:Ptolemeba,s:Ptolemeba_noxubium,KJ542110.1.2226_U;tax,k:Eukaryota,OTU1198.p:Tubulinea-Tubulinea_X.g:Ptolemeba
777,OTU1199,432,1,432,1849,592,1020,100,501,1.28e-140,87.788,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Echinamoebida,o:Echinamoebida_X,f:Echinamoebidae,g:Echinamoeba,s:Echinamoeba_thermarum,AJ489261.1.1849_U;tax,k:Eukaryota,OTU1199.p:Tubulinea-Tubulinea_X.g:Echinamoeba
778,OTU1200,405,165,405,1226,178,421,60,182,1.78e-44,80.488,d:TSAR,p:Stramenopiles-Gyrista,c:Peronosporomycetes,o:Peronosporomycetes_X,f:Peronosporomycetes_XX,g:Peronosporomycetes_XXX,s:Peronosporomycetes_XXX_sp,EF100357.1.1226_U;tax,k:Eukaryota,OTU1200.p:Stramenopiles-Gyrista.g:Peronosporomycetes_XXX
779,OTU1201,410,1,410,1739,511,920,100,747,0,99.512,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Granofilosea,o:Limnofilida,f:Limnofilidae,g:Limnofila,s:Limnofila_oxoniensis,EU567256.1.1739_U;tax,k:Eukaryota,OTU1201.p:Rhizaria-Cercozoa.g:Limnofila
780,OTU1203,393,1,393,1725,558,950,100,699,0,98.728,d:TSAR,p:Alveolata-Ciliophora,c:Spirotrichea,o:Hypotrichia,f:Hypotrichia_X,g:Parakahliella,s:Parakahliella_macrostoma,MH393767.1.1725_U;tax,k:Eukaryota,OTU1203.p:Alveolata-Ciliophora.g:Parakahliella
781,OTU1205,396,1,396,1787,574,971,100,640,0,95.729,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Naviculales,f:Sellaphoraceae,g:Sellaphora,s:Sellaphora_seminulum,EF151967.1.1787_U;tax,k:Eukaryota,OTU1205.p:Stramenopiles-Gyrista.g:Sellaphora
782,OTU1206,400,1,400,1024,569,965,100,569,3.2e-161,92.519,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:AND16-lineage,g:AND16-lineage_X,s:AND16-lineage_X_sp,EU798715.1.1024_U;tax,k:Eukaryota,OTU1206.p:Evosea-Evosea_X.g:AND16-lineage_X
783,OTU1207,405,1,405,1827,596,1000,100,477,2.02e-133,88.078,d:Amoebozoa,p:Tubulinea-Tubulinea_X,c:Echinamoebida,o:Echinamoebida_X,f:Echinamoebidae,g:Echinamoeba,s:Echinamoeba_exundans,AF293895.1.1827_U;tax,k:Eukaryota,OTU1207.p:Tubulinea-Tubulinea_X.g:Echinamoeba
784,OTU1208,425,1,425,1879,591,1019,100,651,0,94.172,d:TSAR,p:Stramenopiles-Bigyra,c:Sagenista,o:Labyrinthulomycetes,f:Amphifilaceae,g:Sorodiplophrys,s:Sorodiplophrys_stercorea,KU728176.1.1879_U;tax,k:Eukaryota,OTU1208.p:Stramenopiles-Bigyra.g:Sorodiplophrys
785,OTU1209,447,1,447,1900,577,1020,100,612,5.89e-174,91.518,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Mb5C-lineage,g:Mb5C-lineage_X,s:Mb5C-lineage_X_sp,HE575399.1.1900_U;tax,k:Eukaryota,OTU1209.p:Evosea-Evosea_X.g:Mb5C-lineage_X
786,OTU1211,429,1,429,1615,573,993,100,625,7.24e-178,93.256,d:Haptista,p:Centroplasthelida-Centroplasthelida_X,c:Centroplasthelida_XX,o:Centroplasthelida_XXX,f:Centroplasthelida_XXXX,g:Centroplasthelida_XXXXX,s:Centroplasthelida_XXXXX_sp,AY749490.1.1615_U;tax,k:Eukaryota,OTU1211.p:Centroplasthelida-Centroplasthelida_X.g:Centroplasthelida_XXXXX
787,OTU1212,406,1,406,1132,567,971,100,660,0,96.059,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Sarcomonadea,o:Cercomonadida,f:Cercomonadidae,g:Eocercomonas,s:Eocercomonas_sp,AY884316.1.1132_U;tax,k:Eukaryota,OTU1212.p:Rhizaria-Cercozoa.g:Eocercomonas
788,OTU1214,332,1,331,1607,511,841,99,562,4.39e-159,97.281,d:TSAR,p:Alveolata-Ciliophora,c:Litostomatea,o:Haptoria_6,f:Lacrymariidae,g:Lacrymariidae_X,s:Lacrymariidae_X_sp,AB695505.1.1607_U;tax,k:Eukaryota,OTU1214.p:Alveolata-Ciliophora.g:Lacrymariidae_X
789,OTU1215,393,1,393,1748,554,946,100,699,0,98.728,d:TSAR,p:Alveolata-Ciliophora,c:Spirotrichea,o:Choreotrichida,f:Strombidinopsidae,g:Strombidinopsis,s:Strombidinopsis_sinicum,KR263893.1.1748_U;tax,k:Eukaryota,OTU1215.p:Alveolata-Ciliophora.g:Strombidinopsis
790,OTU1216,408,1,408,1800,584,990,100,675,0,96.569,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Thecofilosea,o:Cryomonadida,f:Rhogostoma-lineage,g:Rhogostoma-lineage_X,s:Rhogostoma-lineage_X_sp,EF023854.1.1800_U;tax,k:Eukaryota,OTU1216.p:Rhizaria-Cercozoa.g:Rhogostoma-lineage_X
791,OTU1217,390,1,390,1763,572,961,100,582,4e-165,93.59,d:TSAR,p:Alveolata-Apicomplexa,c:Gregarinomorphea,o:Neogregarinorida,f:Actinocephalidae,g:Monocystis,s:Monocystis_sp,EF024174.1.1763_U;tax,k:Eukaryota,OTU1217.p:Alveolata-Apicomplexa.g:Monocystis
792,OTU1219,406,164,406,1183,687,930,60,283,4.75e-75,87.903,d:Amoebozoa,p:Discosea-Discosea_X,c:Stygamoebida,o:Stygamoebidae,f:Vermistella-lineage,g:Vermistella,s:Vermistella_sp,AY835683.1.1183_U;tax,k:Eukaryota,OTU1219.p:Discosea-Discosea_X.g:Vermistella
793,OTU1220,392,1,392,1750,564,956,100,592,6.69e-168,93.909,d:TSAR,p:Alveolata-Ciliophora,c:Spirotrichea,o:Hypotrichia,f:Pseudokeronopsidae,g:Eschaneustyla,s:Eschaneustyla_lugeri,KY874005.1.1750_U;tax,k:Eukaryota,OTU1220.p:Alveolata-Ciliophora.g:Eschaneustyla
794,OTU1221,407,1,407,1996,666,1073,100,686,0,97.059,d:TSAR,p:Rhizaria-Cercozoa,c:Filosa-Sarcomonadea,o:Cercomonadida,f:Cercomonadidae,g:Eocercomonas,s:Eocercomonas_sp,HM536153.1.1996_U;tax,k:Eukaryota,OTU1221.p:Rhizaria-Cercozoa.g:Eocercomonas
795,OTU1222,408,1,408,1920,585,999,100,466,4.42e-130,87.26,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Fractovitellida,f:Schizoplasmodiidae,g:Schizoplasmodium,s:Schizoplasmodium_cavostelioides,FJ544418.1.1920_U;tax,k:Eukaryota,OTU1222.p:Evosea-Evosea_X.g:Schizoplasmodium
796,OTU1223,385,149,385,1770,723,957,62,215,1.66e-54,83.193,d:TSAR,p:Stramenopiles-Bigyra,c:Bicoecea,o:Bicoecea_X,f:Bicoecea_XX,g:Bicoecea_XXX,s:Bicoecea_XXX_sp,GU170214.1.1770_U;tax,k:Eukaryota,OTU1223.p:Stramenopiles-Bigyra.g:Bicoecea_XXX
797,OTU1228,390,1,390,1803,572,961,100,555,8.73e-157,92.327,d:TSAR,p:Alveolata-Apicomplexa,c:Gregarinomorphea,o:Neogregarinorida,f:Actinocephalidae,g:Monocystis,s:Monocystis_sp,EF024102.1.1803_U;tax,k:Eukaryota,OTU1228.p:Alveolata-Apicomplexa.g:Monocystis
798,OTU1229,385,1,385,1766,577,961,100,645,0,96.883,d:TSAR,p:Alveolata-Ciliophora,c:Nassophorea,o:Nassophorea_X,f:Colpodidiidae,g:Colpodidiidae_X,s:Colpodidiidae_X_sp,EU264561.1.1766_U;tax,k:Eukaryota,OTU1229.p:Alveolata-Ciliophora.g:Colpodidiidae_X
