,V5_4,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_1,V5_2,V5_3,kingdom,phylum,class,order,family,genus,species,OTU.ID
108,HF568516,OTU414,327,23,327,498,1,296,93,200,2.04e-51,79.553,gi,MOA18633,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00193,OTU414.g__Claroideoglomus
109,HF568609,OTU569,319,178,319,498,152,291,45,156,4.35e-38,86.986,gi,MOA18726,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00281,OTU569.g__Paraglomus
110,HF568609,OTU690,318,177,318,498,152,291,45,145,9.39e-35,85.616,gi,MOA18726,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00281,OTU690.g__Paraglomus
111,HF568636,OTU341,310,23,310,498,1,291,93,219,5.31e-57,80.678,gi,MOA18753,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00295,OTU341.g__Glomus
112,HF568664,OTU393,305,163,305,498,155,290,47,124,1.17e-28,83.217,gi,MOA18781,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00305,OTU393.g__Glomus
113,HF954563,OTU331,314,23,314,494,1,298,93,257,1.14e-68,82.895,gi,MOA17424,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00056,OTU331.g__Claroideoglomus
114,HF954633,OTU134,310,180,310,500,160,290,42,176,3.24e-44,90.977,gi,MOA17494,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00143,OTU134.g__Glomus
115,HF954633,OTU559,312,23,312,500,1,290,93,226,3.19e-59,81.081,gi,MOA17494,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00143,OTU559.g__Glomus
116,HF954706,OTU738,313,23,313,498,1,288,93,313,2.39e-85,86.301,gi,MOA17567,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00009,OTU738.g__Archaeospora
117,HF954752,OTU629,318,23,318,494,1,290,93,176,3.33e-44,78.146,gi,MOA17613,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00338,OTU629.g__Archaeospora
118,HF954757,OTU623,311,23,311,496,1,288,93,316,1.84e-86,86.689,gi,MOA17618,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00009,OTU623.g__Archaeospora
119,HF954810,OTU34,313,23,313,463,1,290,93,315,6.65e-86,86.301,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU34.g__Paraglomus
120,HF954810,OTU63,312,23,312,463,1,290,93,303,1.43e-82,85.616,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU63.g__Paraglomus
121,HF954810,OTU75,312,23,312,463,1,290,93,326,3.06e-89,86.942,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU75.g__Paraglomus
122,HF954810,OTU96,314,23,314,463,1,290,93,300,1.87e-81,85.324,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU96.g__Paraglomus
123,HF954810,OTU124,313,23,313,463,1,290,93,320,1.43e-87,86.644,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU124.g__Paraglomus
124,HF954810,OTU139,312,23,312,463,1,290,93,436,1.36e-122,93.793,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU139.g__Paraglomus
125,HF954810,OTU140,313,23,313,463,1,290,93,331,6.6e-91,87.372,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU140.g__Paraglomus
126,HF954810,OTU141,312,23,312,463,1,290,93,298,6.67e-81,85.274,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU141.g__Paraglomus
127,HF954810,OTU153,314,23,314,463,1,290,93,278,8.76e-75,84.014,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU153.g__Paraglomus
128,HF954810,OTU194,313,23,313,463,1,290,93,320,1.43e-87,86.644,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU194.g__Paraglomus
129,HF954810,OTU215,312,23,312,463,1,290,93,298,6.67e-81,85.223,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU215.g__Paraglomus
130,HF954810,OTU230,313,23,313,463,1,290,93,303,1.44e-82,85.616,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU230.g__Paraglomus
131,HF954810,OTU296,314,23,314,463,1,290,93,316,1.86e-86,86.348,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU296.g__Paraglomus
132,HF954810,OTU385,312,23,312,463,1,290,93,320,1.42e-87,86.598,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU385.g__Paraglomus
133,HF954810,OTU401,315,23,315,463,1,290,93,316,1.86e-86,86.441,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU401.g__Paraglomus
134,HF954810,OTU443,311,23,311,463,1,290,93,346,2.34e-95,88.396,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU443.g__Paraglomus
135,HF954810,OTU479,314,23,314,463,1,290,93,316,1.86e-86,86.348,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU479.g__Paraglomus
136,HF954810,OTU492,312,23,312,463,1,290,93,414,6.35e-116,92.414,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU492.g__Paraglomus
137,HF954810,OTU494,312,23,312,463,1,290,93,370,1.39e-102,89.655,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU494.g__Paraglomus
138,HF954810,OTU508,316,23,316,463,1,290,93,296,2.43e-80,85.135,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU508.g__Paraglomus
139,HF954810,OTU522,311,23,311,463,1,290,93,313,2.38e-85,86.441,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU522.g__Paraglomus
140,HF954810,OTU546,312,23,312,463,1,290,93,331,6.58e-91,87.285,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU546.g__Paraglomus
141,HF954810,OTU547,312,23,312,463,1,290,93,320,1.42e-87,86.598,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU547.g__Paraglomus
142,HF954810,OTU605,313,23,313,463,1,290,93,303,1.44e-82,85.616,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU605.g__Paraglomus
143,HF954810,OTU639,312,23,312,463,1,290,93,353,1.4e-97,88.621,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU639.g__Paraglomus
144,HF954810,OTU646,310,23,310,463,1,290,93,318,5.09e-87,86.644,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU646.g__Paraglomus
145,HF954810,OTU748,312,23,312,463,1,290,93,398,6.4e-111,91.409,gi,MOA17671,gb,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308,OTU748.g__Paraglomus
146,HF954826,OTU466,383,248,383,425,158,290,48,176,4.06e-44,90.511,gi,MOA17687,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00008,OTU466.g__Archaeospora
147,HF954826,OTU630,391,256,391,425,158,290,47,171,1.93e-42,89.781,gi,MOA17687,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00008,OTU630.g__Archaeospora
148,HF954852,OTU217,313,23,313,483,1,291,93,499,1.71e-141,97.595,gi,MOA17713,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Diversispora,s__VTX00063,OTU217.g__Diversispora
149,HF954887,OTU423,317,23,317,499,1,291,93,276,3.18e-74,84.053,gi,MOA17748,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00009,OTU423.g__Archaeospora
150,HF954887,OTU511,400,252,400,499,147,291,60,167,2.56e-41,87.417,gi,MOA17748,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00009,OTU511.g__Archaeospora
151,HG004533,OTU397,320,23,320,507,1,298,93,551,4.77e-157,100,gi,MOA08190,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00193,OTU397.g__Claroideoglomus
152,HG969558,OTU717,310,23,310,498,1,290,93,302,5.12e-82,85.616,gi,MOA17367,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00146,OTU717.g__Glomus
153,HG975670,OTU10,332,23,332,457,1,294,93,254,1.57e-67,82.258,gi,MOA24005,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU10.g__Ambispora
154,HG975679,OTU360,312,23,312,498,1,291,93,237,1.48e-62,81.94,gi,MOA24014,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00005,OTU360.g__Archaeospora
155,HG975693,OTU132,311,23,311,498,1,291,93,315,6.6e-86,86.441,gi,MOA24028,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00005,OTU132.g__Archaeospora
156,HG975693,OTU420,311,23,311,498,1,291,93,326,3.05e-89,87.075,gi,MOA24028,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00005,OTU420.g__Archaeospora
157,HG975724,OTU450,318,23,318,498,1,293,93,217,1.96e-56,80.528,gi,MOA24059,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00245,OTU450.g__Archaeospora
158,HG975825,OTU452,295,164,295,498,159,299,45,113,2.44e-25,82.394,gi,MOA24160,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00057,OTU452.g__Claroideoglomus
159,HG975858,OTU270,319,23,319,498,1,297,93,195,9.23e-50,78.947,gi,MOA24193,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00193,OTU270.g__Claroideoglomus
160,HG975858,OTU306,319,23,319,498,1,297,93,178,9.29e-45,78.033,gi,MOA24193,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00193,OTU306.g__Claroideoglomus
161,HG975911,OTU87,315,23,315,498,1,293,93,542,2.82e-154,100,gi,MOA24246,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Diversispora,s__VTX00061,OTU87.g__Diversispora
162,HG975926,OTU24,315,23,315,498,1,293,93,542,2.82e-154,100,gi,MOA24261,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Diversispora,s__VTX00062,OTU24.g__Diversispora
163,HG975992,OTU734,312,23,312,498,1,291,93,237,1.48e-62,81.757,gi,MOA24327,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00072,OTU734.g__Glomus
164,HG976212,OTU245,389,253,389,498,155,291,49,195,1.14e-49,92.029,gi,MOA24547,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00143,OTU245.g__Glomus
165,HM215647,OTU104,312,23,312,502,1,293,93,250,1.9e-66,82.313,gi,MOA01225,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Diversispora,s__VTX00356,OTU104.g__Diversispora
166,HM215647,OTU434,310,23,310,502,1,293,93,270,1.44e-72,83.893,gi,MOA01225,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Diversispora,s__VTX00356,OTU434.g__Diversispora
167,HM215885,OTU135,328,182,328,496,146,288,62,152,5.8e-37,85.811,gi,MOA01303,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Gigasporaceae,g__Gigaspora,s__VTX00039,OTU135.g__Gigaspora
168,HM215891,OTU17,350,211,350,498,154,290,55,150,2.24e-36,86.62,gi,MOA01305,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Gigasporaceae,g__Gigaspora,s__VTX00039,OTU17.g__Gigaspora
169,HM215891,OTU60,332,187,332,498,148,290,60,178,9.7e-45,89.189,gi,MOA01305,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Gigasporaceae,g__Gigaspora,s__VTX00039,OTU60.g__Gigaspora
170,HM215891,OTU729,318,23,318,498,1,290,93,159,3.35e-39,77.377,gi,MOA01305,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Gigasporaceae,g__Gigaspora,s__VTX00039,OTU729.g__Gigaspora
171,HM215923,OTU133,322,23,322,500,1,291,93,191,1.21e-48,79.153,gi,MOA01308,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00365,OTU133.g__Glomus
172,HM215923,OTU313,321,23,321,500,1,291,93,185,5.59e-47,78.548,gi,MOA01308,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00365,OTU313.g__Glomus
173,HM215923,OTU411,361,213,361,500,146,291,57,134,2.33e-31,83.444,gi,MOA01308,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00365,OTU411.g__Glomus
174,HM215923,OTU438,321,23,321,500,1,291,93,185,5.59e-47,79.032,gi,MOA01308,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00365,OTU438.g__Glomus
175,HM215923,OTU555,320,188,320,500,159,291,42,135,5.69e-32,85.075,gi,MOA01308,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00365,OTU555.g__Glomus
176,HM215923,OTU612,299,166,299,500,158,291,45,165,6.75e-41,88.889,gi,MOA01308,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00365,OTU612.g__Glomus
177,HM215923,OTU669,322,23,322,500,1,291,93,196,2.59e-50,79.344,gi,MOA01308,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00365,OTU669.g__Glomus
178,HM215923,OTU733,320,185,320,500,156,291,43,169,5.61e-42,89.051,gi,MOA01308,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00365,OTU733.g__Glomus
179,HQ424224,OTU83,337,25,77,498,3,55,16,82.4,7.95e-16,94.34,gi,MOA01102,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00405,OTU83.g__Ambispora
180,HQ424224,OTU243,337,25,112,498,3,89,26,89.8,4.75e-18,85.393,gi,MOA01102,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00405,OTU243.g__Ambispora
181,JF414186,OTU625,410,265,410,502,152,293,58,139,5.73e-33,84.459,gi,MOA00737,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Diversisporales,f__Acaulosporaceae,g__Acaulospora,s__VTX00023,OTU625.g__Acaulospora
182,JF414188,OTU490,291,149,291,499,147,293,67,147,2.37e-35,85.034,gi,MOA00733,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU490.g__Ambispora
183,JF683559,OTU379,322,23,322,505,1,296,93,196,2.59e-50,78.878,gi,MOA01193,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00193,OTU379.g__Claroideoglomus
184,JN009145,OTU80,310,23,310,499,1,290,93,518,4.67e-147,98.966,gi,MOA02495,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00304,OTU80.g__Glomus
185,JN009440,OTU284,320,23,320,498,1,290,93,217,1.98e-56,80.528,gi,MOA02614,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00247,OTU284.g__Glomus
186,JN009453,OTU350,322,186,322,507,162,298,59,154,1.58e-37,87.143,gi,MOA02619,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00057,OTU350.g__Claroideoglomus
187,JQ246029,OTU351,322,186,322,423,155,290,58,191,1.21e-48,92.029,gi,MOA02630,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00359,OTU351.g__Glomus
188,JQ654498,OTU462,321,23,321,500,1,291,93,196,2.58e-50,79.412,gi,MOA08667,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00072,OTU462.g__Glomus
189,JQ654518,OTU93,305,174,305,500,159,291,60,156,4.15e-38,87.97,gi,MOA08679,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00115,OTU93.g__Glomus
190,JQ654518,OTU603,321,186,321,500,156,291,42,169,5.63e-42,89.051,gi,MOA08679,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00115,OTU603.g__Glomus
191,JQ654518,OTU635,317,23,317,500,1,291,93,182,7.13e-46,78.548,gi,MOA08679,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00115,OTU635.g__Glomus
192,JX999461,OTU114,331,188,331,500,153,294,44,171,1.62e-42,88.276,gi,MOA07968,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU114.g__Ambispora
193,JX999461,OTU150,383,234,383,500,144,294,58,200,2.41e-51,90.728,gi,MOA07968,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU150.g__Ambispora
194,JX999461,OTU179,325,23,325,500,1,294,93,263,2.54e-70,83.007,gi,MOA07968,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU179.g__Ambispora
195,JX999461,OTU229,331,185,331,500,150,294,44,171,1.62e-42,87.838,gi,MOA07968,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU229.g__Ambispora
196,JX999461,OTU275,398,257,398,500,153,294,36,196,3.25e-50,91.549,gi,MOA07968,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU275.g__Ambispora
197,JX999461,OTU408,367,221,367,500,148,294,65,200,2.3e-51,91.156,gi,MOA07968,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU408.g__Ambispora
198,JX999461,OTU502,358,206,358,500,142,294,69,200,2.24e-51,90.196,gi,MOA07968,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU502.g__Ambispora
199,JX999474,OTU348,322,23,322,503,1,294,93,283,1.93e-76,84.158,gi,MOA07969,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU348.g__Ambispora
200,JX999474,OTU528,322,23,322,503,1,294,93,255,4.22e-68,82.508,gi,MOA07969,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae,g__Ambispora,s__VTX00283,OTU528.g__Ambispora
201,KC579428,OTU74,312,23,312,499,1,290,93,525,2.81e-149,99.31,gi,MOA08219,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00301,OTU74.g__Glomus
202,KC579432,OTU9,323,23,323,503,1,296,93,213,2.58e-55,80.195,gi,MOA08223,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00193,OTU9.g__Claroideoglomus
203,KC579432,OTU374,316,23,316,503,1,296,93,246,2.49e-65,82.178,gi,MOA08223,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00193,OTU374.g__Claroideoglomus
204,KC579432,OTU656,343,1,292,503,287,1,85,185,6e-47,78.93,gi,MOA08223,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00193,OTU656.g__Claroideoglomus
205,KC708366,OTU581,314,23,314,498,1,292,93,291,1.12e-78,84.899,gi,MOA08600,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00005,OTU581.g__Archaeospora
206,KC708369,OTU77,311,23,311,498,1,292,93,292,3.09e-79,85.085,gi,MOA08603,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00245,OTU77.g__Archaeospora
207,KC708371,OTU718,314,23,314,498,1,292,93,313,2.4e-85,86.149,gi,MOA08605,gb,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00005,OTU718.g__Archaeospora
208,KF916654,OTU14,313,23,313,500,1,291,93,527,7.85e-150,99.313,gi,MOA08486,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00409,OTU14.g__Glomus
209,KF916654,OTU182,157,1,106,500,106,1,68,185,2.54e-47,98.113,gi,MOA08486,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00409,OTU182.g__Glomus
210,KF916661,OTU90,324,23,324,514,1,305,93,499,1.78e-141,96.405,gi,MOA08493,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00100,OTU90.g__Glomus
211,KF916661,OTU224,327,23,327,514,1,305,93,497,6.45e-141,96.117,gi,MOA08493,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00100,OTU224.g__Glomus
212,KF916669,OTU204,157,1,106,499,106,1,68,196,1.17e-50,100,gi,MOA08501,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00331,OTU204.g__Glomus
213,KJ960076,OTU431,319,178,319,501,151,292,45,185,5.55e-47,90.21,gi,MOA23840,gb,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00122,OTU431.g__Glomus
