,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_1_1,V5_1_2,V5_1_3,V5_1_4,V5_1_5,OTU.ID
592,OTU605,305,1,244,539,296,539,80,429,1.16e-119,98.361,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Hydnodontaceae,g__Subulicystidium,s__Subulicystidium_sp,Subulicystidium_sp,UDB07649058,SH1260377.09FU,reps,k__Fungi,OTU605.p__Basidiomycota.g__Subulicystidium
593,OTU606,262,1,201,482,282,482,77,344,3.67e-94,97.512,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Ascomycota_gen_Incertae_sedis,s__Ascomycota_sp,Ascomycota_sp,UDB02986753,SH0956570.09FU,reps,k__Fungi,OTU606.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis
594,OTU607,366,1,305,797,492,797,83,508,1.76e-143,96.732,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__Spizellomyces_sp,Spizellomyces_sp,FJ827726,SH1008340.09FU,reps,k__Fungi,OTU607.p__Chytridiomycota.g__Spizellomyces
595,OTU608,256,1,196,462,267,462,77,340,4.63e-93,97.959,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Teratosphaeria,s__Teratosphaeria_sp,Teratosphaeria_sp,UDB05436886,SH0981328.09FU,reps,k__Fungi,OTU608.p__Ascomycota.g__Teratosphaeria
596,OTU609,310,1,262,576,315,576,85,484,2.48e-136,100,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Debaryomycetaceae,g__Schwanniomyces,s__Schwanniomyces_occidentalis,Schwanniomyces_occidentalis,AB054023,SH1029552.09FU,refs,k__Fungi,OTU609.p__Ascomycota.g__Schwanniomyces
597,OTU610,277,1,217,477,260,477,78,374,4.98e-103,97.706,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeoseptaceae,g__Pleopunctum,s__Pleopunctum_ellipsoideum,Pleopunctum_ellipsoideum,MK804512,SH1168968.09FU,refs,k__Fungi,OTU610.p__Ascomycota.g__Pleopunctum
598,OTU611,315,1,253,454,202,454,80,390,5.66e-108,94.488,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomeraceae_gen_Incertae_sedis,s__Glomeraceae_sp,Glomeraceae_sp,UDB03128229,SH1035519.09FU,reps,k__Fungi,OTU611.p__Glomeromycota.g__Glomeraceae_gen_Incertae_sedis
599,OTU612,339,1,279,502,224,502,82,505,2.1e-142,99.283,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomeraceae_gen_Incertae_sedis,s__Glomeraceae_sp,Glomeraceae_sp,JX276920,SH1145873.09FU,reps,k__Fungi,OTU612.p__Glomeromycota.g__Glomeraceae_gen_Incertae_sedis
600,OTU613,322,1,257,640,381,637,80,387,7.5e-107,93.846,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,s__Conocybe_sp,Conocybe_sp,UDB04138036,SH1182653.09FU,reps,k__Fungi,OTU613.p__Basidiomycota.g__Conocybe
601,OTU614,292,58,284,458,458,232,78,420,6.65e-117,100,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Podosporaceae,g__Podospora,s__Podospora_sp,Podospora_sp,UDB07326907,SH0999994.09FU,reps,k__Fungi,OTU614.p__Ascomycota.g__Podospora
602,OTU615,270,1,209,508,300,508,77,381,2.89e-105,99.522,p__Ascomycota,c__Sordariomycetes,o__Sordariomycetes_ord_Incertae_sedis,f__Sordariomycetes_fam_Incertae_sedis,g__Sordariomycetes_gen_Incertae_sedis,s__Sordariomycetes_sp,Sordariomycetes_sp,UDB02762091,SH0905941.09FU,reps,k__Fungi,OTU615.p__Ascomycota.g__Sordariomycetes_gen_Incertae_sedis
603,OTU616,278,1,218,485,268,485,78,403,6.38e-112,100,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_hyalinulum,Acremonium_hyalinulum,KP131521,SH0971596.09FU,refs,k__Fungi,OTU616.p__Ascomycota.g__Acremonium
604,OTU617,403,356,401,1125,57,12,11,69.4,3.93e-11,93.478,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU617.p__Ascomycota.g__Fusarium
605,OTU618,307,1,247,453,204,453,80,425,1.51e-118,97.6,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__Rhizophagus_irregularis,Rhizophagus_irregularis,FM992381,SH0988875.09FU,refs,k__Fungi,OTU618.p__Glomeromycota.g__Rhizophagus
606,OTU619,278,1,218,471,254,471,78,403,6.38e-112,100,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Corynesporascaceae,g__Corynespora,s__Corynespora_cassiicola,Corynespora_cassiicola,KJ908842,SH0978299.09FU,reps,k__Fungi,OTU619.p__Ascomycota.g__Corynespora
607,OTU620,321,274,319,1125,57,12,14,69.4,3.07e-11,93.478,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU620.p__Ascomycota.g__Fusarium
608,OTU621,256,1,196,434,239,434,77,363,9.89e-100,100,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Dioszegia,s__Dioszegia_zsoltii,Dioszegia_zsoltii,AF385445,SH1004025.09FU,refs,k__Fungi,OTU621.p__Basidiomycota.g__Dioszegia
609,OTU622,372,335,370,758,510,545,10,67.6,1.3e-10,100,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Auriculariales_fam_Incertae_sedis,g__Auriculariales_gen_Incertae_sedis,s__Auriculariales_sp,Auriculariales_sp,JQ272342,SH0954825.09FU,reps,k__Fungi,OTU622.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis
610,OTU623,320,1,260,506,247,506,81,481,3.32e-135,100,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Symmetrosporaceae,g__Symmetrospora,s__Symmetrospora_oryzicola,Symmetrospora_oryzicola,AF444546,SH1223355.09FU,refs,k__Fungi,OTU623.p__Basidiomycota.g__Symmetrospora
611,OTU624,366,1,205,609,307,519,56,148,4.42e-35,80.365,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,s__Hygrocybe_sp,Hygrocybe_sp,UDB03493516,SH1167003.09FU,reps,k__Fungi,OTU624.p__Basidiomycota.g__Hygrocybe
612,OTU625,346,1,285,533,249,533,82,449,1.02e-125,95.088,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Rhizophydiales_gen_Incertae_sedis,s__Rhizophydiales_sp,Rhizophydiales_sp,UDB0521347,SH1115140.09FU,reps,k__Fungi,OTU625.p__Chytridiomycota.g__Rhizophydiales_gen_Incertae_sedis
613,OTU626,327,1,266,606,334,606,81,381,3.55e-105,92.336,p__Basidiomycota,c__Agaricomycetes,o__Agaricomycetes_ord_Incertae_sedis,f__Agaricomycetes_fam_Incertae_sedis,g__Agaricomycetes_gen_Incertae_sedis,s__Agaricomycetes_sp,Agaricomycetes_sp,UDB0943912,SH1290286.09FU,reps,k__Fungi,OTU626.p__Basidiomycota.g__Agaricomycetes_gen_Incertae_sedis
614,OTU627,305,1,244,546,303,546,80,446,1.15e-124,99.59,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Herpotrichiellaceae_gen_Incertae_sedis,s__Herpotrichiellaceae_sp,Herpotrichiellaceae_sp,UDB03387847,SH0895276.09FU,reps,k__Fungi,OTU627.p__Ascomycota.g__Herpotrichiellaceae_gen_Incertae_sedis
615,OTU628,320,1,259,458,203,458,81,403,7.39e-112,95,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomeraceae_gen_Incertae_sedis,s__Glomeraceae_sp,Glomeraceae_sp,UDB03133728,SH1035546.09FU,reps,k__Fungi,OTU628.p__Glomeromycota.g__Glomeraceae_gen_Incertae_sedis
616,OTU629,397,1,350,693,344,693,88,625,1.83e-178,98.857,p__Basidiomycota,c__Ustilaginomycetes,o__Ustilaginales,f__Ustilaginaceae,g__Pseudozyma,s__Pseudozyma_hubeiensis,Pseudozyma_hubeiensis,DQ008954,SH1089534.09FU,refs,k__Fungi,OTU629.p__Basidiomycota.g__Pseudozyma
617,OTU630,261,1,195,461,263,457,75,350,7.86e-96,98.974,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,g__Dermateaceae_gen_Incertae_sedis,s__Dermateaceae_sp,Dermateaceae_sp,UDB05071488,SH0990392.09FU,reps,k__Fungi,OTU630.p__Ascomycota.g__Dermateaceae_gen_Incertae_sedis
618,OTU631,425,1,310,751,392,705,73,172,3.08e-42,77.744,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp,Fungi_sp,UDB0349693,SH1231748.09FU,reps,k__Fungi,OTU631.p__Fungi_phy_Incertae_sedis.g__Fungi_gen_Incertae_sedis
619,OTU632,270,1,210,512,303,512,78,388,1.73e-107,100,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Coniothyriaceae,g__Coniothyrium,s__Coniothyrium_sp,Coniothyrium_sp,MH019922,SH1298791.09FU,reps,k__Fungi,OTU632.p__Ascomycota.g__Coniothyrium
620,OTU633,277,1,216,472,258,472,78,337,6.54e-92,94.907,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascodesmidaceae,g__Cephaliophora,s__Cephaliophora_sp,Cephaliophora_sp,UDB0591927,SH0935923.09FU,reps,k__Fungi,OTU633.p__Ascomycota.g__Cephaliophora
621,OTU634,308,1,247,609,365,609,80,366,9.31e-101,93.548,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetaceae,g__Saccharomycetaceae_gen_Incertae_sedis,s__Saccharomycetaceae_sp,Saccharomycetaceae_sp,UDB06291860,SH1262246.09FU,reps,k__Fungi,OTU634.p__Ascomycota.g__Saccharomycetaceae_gen_Incertae_sedis
622,OTU635,344,1,283,570,286,570,82,392,1.73e-108,91.579,p__Chytridiomycota,c__Chytridiomycota_cls_Incertae_sedis,o__Chytridiomycota_ord_Incertae_sedis,f__Chytridiomycota_fam_Incertae_sedis,g__Chytridiomycota_gen_Incertae_sedis,s__Chytridiomycota_sp,Chytridiomycota_sp,UDB02262229,SH0897720.09FU,reps,k__Fungi,OTU635.p__Chytridiomycota.g__Chytridiomycota_gen_Incertae_sedis
623,OTU636,347,300,345,1125,57,12,13,69.4,3.34e-11,93.478,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU636.p__Ascomycota.g__Fusarium
624,OTU637,280,1,220,916,697,916,79,401,2.31e-111,99.545,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,g__Xylariaceae_gen_Incertae_sedis,s__Xylariaceae_sp,Xylariaceae_sp,MT183785,SH1211935.09FU,reps,k__Fungi,OTU637.p__Ascomycota.g__Xylariaceae_gen_Incertae_sedis
625,OTU638,402,1,341,710,368,710,85,544,5.34e-154,95.376,p__Kickxellomycota,c__Ramicandelaberomycetes,o__Ramicandelaberales,f__Ramicandelaberaceae,g__Ramicandelaber,s__Ramicandelaber_sp,Ramicandelaber_sp,UDB06291255,SH1119236.09FU,reps,k__Fungi,OTU638.p__Kickxellomycota.g__Ramicandelaber
626,OTU639,283,1,222,521,299,521,78,344,4e-94,94.643,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Strelitzianaceae,g__Strelitziana,s__Strelitziana_sp,Strelitziana_sp,UDB07638466,SH0931730.09FU,reps,k__Fungi,OTU639.p__Ascomycota.g__Strelitziana
627,OTU640,301,1,238,529,295,527,79,285,2.61e-76,88.703,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Amphisphaeriaceae,g__Amphisphaeria,s__Amphisphaeria_qujingensis,Amphisphaeria_qujingensis,MN477033,SH1291855.09FU,reps,k__Fungi,OTU640.p__Ascomycota.g__Amphisphaeria
628,OTU641,271,1,210,490,283,490,77,281,3.03e-75,90.995,p__Ascomycota,c__Lecanoromycetes,o__Ostropales,f__Stictidaceae,g__Stictidaceae_gen_Incertae_sedis,s__Stictidaceae_sp,Stictidaceae_sp,UDB07632922,SH1110938.09FU,reps,k__Fungi,OTU641.p__Ascomycota.g__Stictidaceae_gen_Incertae_sedis
629,OTU642,295,258,293,758,510,545,12,67.6,1.01e-10,100,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Auriculariales_fam_Incertae_sedis,g__Auriculariales_gen_Incertae_sedis,s__Auriculariales_sp,Auriculariales_sp,JQ272342,SH0954825.09FU,reps,k__Fungi,OTU642.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis
630,OTU643,295,1,234,499,266,499,79,433,8.63e-121,100,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_acutatum,Acremonium_acutatum,KP131516,SH1291626.09FU,refs,k__Fungi,OTU643.p__Ascomycota.g__Acremonium
631,OTU644,274,1,154,488,277,434,56,178,4.14e-44,87.342,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,s__Cladophialophora_sp,Cladophialophora_sp,UDB02738672,SH0910733.09FU,reps,k__Fungi,OTU644.p__Ascomycota.g__Cladophialophora
632,OTU645,289,1,229,521,288,521,79,250,9.12e-66,86.383,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Retiarius,s__Retiarius_bovicornutus,Retiarius_bovicornutus,KY352466,SH1164902.09FU,reps,k__Fungi,OTU645.p__Ascomycota.g__Retiarius
633,OTU646,289,1,229,497,269,497,79,424,5.08e-118,100,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Hypocreales_gen_Incertae_sedis,s__Hypocreales_sp,Hypocreales_sp,FJ231504,SH1074202.09FU,reps,k__Fungi,OTU646.p__Ascomycota.g__Hypocreales_gen_Incertae_sedis
634,OTU647,316,1,256,471,214,471,81,403,7.29e-112,94.961,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__Rhizophagus_intraradices,Rhizophagus_intraradices,KF836955,SH0956021.09FU,reps,k__Fungi,OTU647.p__Glomeromycota.g__Rhizophagus
635,OTU648,282,1,217,524,303,518,77,305,1.88e-82,92.202,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Strelitzianaceae,g__Strelitziana,s__Strelitziana_sp,Strelitziana_sp,UDB07638322,SH0931727.09FU,reps,k__Fungi,OTU648.p__Ascomycota.g__Strelitziana
636,OTU649,303,1,259,592,334,592,85,440,5.31e-123,97.308,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__Psathyrella_panaeoloides,Psathyrella_panaeoloides,MK045663,SH1207557.09FU,refs,k__Fungi,OTU649.p__Basidiomycota.g__Psathyrella
637,OTU650,304,1,243,594,352,594,80,449,8.86e-126,100,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Ascomycota_gen_Incertae_sedis,s__Ascomycota_sp,Ascomycota_sp,UDB01402164,SH1278112.09FU,reps,k__Fungi,OTU650.p__Ascomycota.g__Ascomycota_gen_Incertae_sedis
638,OTU651,348,1,287,653,365,653,82,372,2.28e-102,90,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetales_fam_Incertae_sedis,g__Spizellomycetales_gen_Incertae_sedis,s__Spizellomycetales_sp,Spizellomycetales_sp,UDB07380422,SH1204239.09FU,reps,k__Fungi,OTU651.p__Chytridiomycota.g__Spizellomycetales_gen_Incertae_sedis
639,OTU652,308,1,247,499,260,499,80,399,9.18e-111,96.356,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Scopulariopsis,s__Scopulariopsis_acremonium,Scopulariopsis_acremonium,LM652456,SH0902174.09FU,refs,k__Fungi,OTU652.p__Ascomycota.g__Scopulariopsis
640,OTU653,354,307,352,1125,57,12,13,69.4,3.42e-11,93.478,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU653.p__Ascomycota.g__Fusarium
641,OTU654,349,1,288,577,288,577,83,507,6.02e-143,98.276,p__Chytridiomycota,c__Lobulomycetes,o__Lobulomycetales,f__Lobulomycetales_fam_Incertae_sedis,g__Lobulomycetales_gen_Incertae_sedis,s__Lobulomycetales_sp,Lobulomycetales_sp,UDB03108286,SH1167565.09FU,reps,k__Fungi,OTU654.p__Chytridiomycota.g__Lobulomycetales_gen_Incertae_sedis
642,OTU655,334,287,332,1125,57,12,14,69.4,3.21e-11,93.478,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU655.p__Ascomycota.g__Fusarium
643,OTU656,263,1,200,465,264,463,76,326,1.34e-88,96,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Leotiaceae_gen_Incertae_sedis,s__Leotiaceae_sp,Leotiaceae_sp,UDB02810873,SH0992848.09FU,reps,k__Fungi,OTU656.p__Ascomycota.g__Leotiaceae_gen_Incertae_sedis
644,OTU657,320,1,260,424,163,424,81,438,2.03e-122,96.958,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__Rhizophagus_sp,Rhizophagus_sp,AF185660,SH0907805.09FU,reps,k__Fungi,OTU657.p__Glomeromycota.g__Rhizophagus
645,OTU658,267,1,207,482,276,482,78,383,7.95e-106,100,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_repens,Humicola_repens,MH444275,SH2143709.09FU,refs,k__Fungi,OTU658.p__Ascomycota.g__Humicola
646,OTU659,291,1,185,523,295,480,64,259,1.53e-68,91.979,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriaceae,g__Ceramothyrium,s__Ceramothyrium_menglunense,Ceramothyrium_menglunense,KX524148,SH1828321.09FU,refs_singleton,k__Fungi,OTU659.p__Ascomycota.g__Ceramothyrium
647,OTU660,276,1,213,509,293,506,77,361,3.86e-99,97.196,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Herpotrichiellaceae_gen_Incertae_sedis,s__Herpotrichiellaceae_sp,Herpotrichiellaceae_sp,UDB03378155,SH1073267.09FU,reps,k__Fungi,OTU660.p__Ascomycota.g__Herpotrichiellaceae_gen_Incertae_sedis
648,OTU661,342,1,282,544,263,544,82,477,4.62e-134,97.163,p__Basidiomycota,c__Geminibasidiomycetes,o__Geminibasidiales,f__Geminibasidiaceae,g__Geminibasidium,s__Geminibasidium_sp,Geminibasidium_sp,UDB0681903,SH1091521.09FU,reps,k__Fungi,OTU661.p__Basidiomycota.g__Geminibasidium
649,OTU662,285,1,225,523,299,523,79,411,3.92e-114,99.556,p__Ascomycota,c__Dothideomycetes,o__Coniosporiales,f__Coniosporiaceae,g__Coniosporium,s__Coniosporium_sp,Coniosporium_sp,HQ262498,SH1110504.09FU,reps,k__Fungi,OTU662.p__Ascomycota.g__Coniosporium
650,OTU663,399,1,338,706,369,706,85,525,1.92e-148,94.706,p__Kickxellomycota,c__Ramicandelaberomycetes,o__Ramicandelaberales,f__Ramicandelaberaceae,g__Ramicandelaber,s__Ramicandelaber_sp,Ramicandelaber_sp,UDB06291202,SH1124592.09FU,reps,k__Fungi,OTU663.p__Kickxellomycota.g__Ramicandelaber
651,OTU664,273,1,213,476,262,476,78,318,2.33e-86,93.548,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Dissoconiaceae,g__Ramichloridium,s__Ramichloridium_eucleae,Ramichloridium_eucleae,KJ869155,SH1694702.09FU,refs_singleton,k__Fungi,OTU664.p__Ascomycota.g__Ramichloridium
652,OTU665,295,1,235,440,206,440,80,435,2.4e-121,100,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__Glomus_sp,Glomus_sp,UDB0201023,SH1030990.09FU,reps,k__Fungi,OTU665.p__Glomeromycota.g__Glomus
653,OTU666,300,1,240,524,284,524,80,416,8.85e-116,97.925,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Microascus,s__Microascus_croci,Microascus_croci,LM652407,SH1070226.09FU,refs,k__Fungi,OTU666.p__Ascomycota.g__Microascus
654,OTU667,294,1,216,552,324,538,73,303,7.04e-82,92.13,p__Ascomycota,c__Eurotiomycetes,o__Eurotiomycetes_ord_Incertae_sedis,f__Eurotiomycetes_fam_Incertae_sedis,g__Eurotiomycetes_gen_Incertae_sedis,s__Eurotiomycetes_sp,Eurotiomycetes_sp,UDB01946566,SH1321952.09FU,reps,k__Fungi,OTU667.p__Ascomycota.g__Eurotiomycetes_gen_Incertae_sedis
655,OTU668,313,276,311,758,510,545,12,67.6,1.08e-10,100,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Auriculariales_fam_Incertae_sedis,g__Auriculariales_gen_Incertae_sedis,s__Auriculariales_sp,Auriculariales_sp,JQ272342,SH0954825.09FU,reps,k__Fungi,OTU668.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis
656,OTU669,377,1,317,649,340,649,84,379,1.49e-104,88.679,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetales_fam_Incertae_sedis,g__Spizellomycetales_gen_Incertae_sedis,s__Spizellomycetales_sp,Spizellomycetales_sp,UDB07382599,SH1203270.09FU,reps,k__Fungi,OTU669.p__Chytridiomycota.g__Spizellomycetales_gen_Incertae_sedis
657,OTU670,286,1,226,543,318,543,79,418,2.35e-116,100,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Thermomyces,s__Thermomyces_ibadanensis,Thermomyces_ibadanensis,MH858968,SH4133604.09FU,refs,k__Fungi,OTU670.p__Ascomycota.g__Thermomyces
658,OTU671,262,1,202,445,244,445,77,374,4.69e-103,100,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Eremomycetaceae,g__Arthrographis,s__Arthrographis_sp,Arthrographis_sp,UDB01289822,SH0964662.09FU,reps,k__Fungi,OTU671.p__Ascomycota.g__Arthrographis
659,OTU672,347,300,345,1125,57,12,13,69.4,3.34e-11,93.478,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU672.p__Ascomycota.g__Fusarium
660,OTU673,264,1,195,471,268,462,74,333,8.02e-91,97.436,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_Incertae_sedis,g__Pleosporales_gen_Incertae_sedis,s__Pleosporales_sp,Pleosporales_sp,UDB05019228,SH1029837.09FU,reps,k__Fungi,OTU673.p__Ascomycota.g__Pleosporales_gen_Incertae_sedis
661,OTU674,302,1,258,555,298,555,85,472,1.88e-132,99.612,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Microascus,s__Microascus_verrucosus,Microascus_verrucosus,LM652446,SH1070254.09FU,refs,k__Fungi,OTU674.p__Ascomycota.g__Microascus
662,OTU675,324,268,319,581,475,527,16,58.4,6.72e-08,86.792,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,g__Pezicula,s__Pezicula_radicicola,Pezicula_radicicola,FJ179465,SH0975489.09FU,reps,k__Fungi,OTU675.p__Ascomycota.g__Pezicula
663,OTU676,294,1,233,606,373,606,79,398,3.14e-110,97.436,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Ochroconis,s__Ochroconis_sp,Ochroconis_sp,UDB02279056,SH1041667.09FU,reps,k__Fungi,OTU676.p__Ascomycota.g__Ochroconis
664,OTU677,356,309,354,1125,57,12,13,69.4,3.44e-11,93.478,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,k__Fungi,OTU677.p__Ascomycota.g__Fusarium
665,OTU678,287,1,227,572,347,572,79,407,5.11e-113,99.119,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,s__Trichoderma_patella,Trichoderma_patella,AF487663,SH1243319.09FU,refs,k__Fungi,OTU678.p__Ascomycota.g__Trichoderma
666,OTU679,337,298,335,758,508,545,11,65.8,4.19e-10,97.368,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Auriculariales_fam_Incertae_sedis,g__Auriculariales_gen_Incertae_sedis,s__Auriculariales_sp,Auriculariales_sp,JQ272342,SH0954825.09FU,reps,k__Fungi,OTU679.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis
667,OTU680,286,1,226,452,231,452,79,375,1.43e-103,96.903,p__Ascomycota,c__Sordariomycetes,o__Chaetosphaeriales,f__Chaetosphaeriaceae,g__Eucalyptostroma,s__Eucalyptostroma_eucalypti,Eucalyptostroma_eucalypti,KY173408,SH0996124.09FU,refs,k__Fungi,OTU680.p__Ascomycota.g__Eucalyptostroma
668,OTU681,293,1,233,516,284,516,80,431,3.08e-120,100,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Gliomastix,s__Gliomastix_roseogrisea,Gliomastix_roseogrisea,MH857544,SH1346449.09FU,refs,k__Fungi,OTU681.p__Ascomycota.g__Gliomastix
669,OTU682,248,1,188,411,225,411,76,335,2.08e-91,98.936,p__Ascomycota,c__Sordariomycetes,o__Sordariomycetes_ord_Incertae_sedis,f__Sordariomycetes_fam_Incertae_sedis,g__Sordariomycetes_gen_Incertae_sedis,s__Sordariomycetes_sp,Sordariomycetes_sp,UDB07350190,SH1021777.09FU,reps,k__Fungi,OTU682.p__Ascomycota.g__Sordariomycetes_gen_Incertae_sedis
670,OTU683,299,1,239,519,281,519,80,442,1.46e-123,100,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Microascus,s__Microascus_melanosporus,Microascus_melanosporus,LM652437,SH1681891.09FU,refs,k__Fungi,OTU683.p__Ascomycota.g__Microascus
