,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11,V12,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_1_1,V5_1_2,OTU.ID
272,OTU274,273,1,273,1496,508,780,100,494,3.12e-138,99.267,Planctomycetota,Planctomycetes,Planctomycetales,_,uncultured|planctomycete,_,EU979049.1.1496,Bacteria,OTU274.Planctomycetota.uncultured|planctomycete
273,OTU275,273,1,273,1507,524,796,100,494,3.12e-138,99.267,Actinobacteriota,MB-A2-108,_,_,_,_,JQ979021.1.1507,Bacteria,OTU275.Actinobacteriota._
274,OTU276,273,1,273,1502,536,808,100,494,3.12e-138,99.267,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup|10,_,AY703465.1.1502,Bacteria,OTU276.Acidobacteriota.Subgroup|10
275,OTU277,273,1,273,1504,525,797,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Marinobacterium,_,JQ716322.1.1504,Bacteria,OTU277.Proteobacteria.Marinobacterium
276,OTU278,273,1,272,1488,493,764,99,436,5.34e-121,95.604,Chloroflexi,TK10,_,_,_,_,JX079347.1.1488,Bacteria,OTU278.Chloroflexi._
277,OTU279,273,1,273,1357,502,774,100,477,3.15e-133,98.168,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,_,uncultured|Acidobacteria|bacterium,_,AM935664.1.1357,Bacteria,OTU279.Acidobacteriota.uncultured|Acidobacteria|bacterium
278,OTU280,273,1,273,1313,473,745,100,416,6.96e-115,94.139,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101|soil|group,_,_,EU135116.1.1313,Bacteria,OTU280.Planctomycetota._
279,OTU281,273,1,273,1339,491,763,100,488,1.45e-136,98.901,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,_,_,EU134819.1.1339,Bacteria,OTU281.Gemmatimonadota._
280,OTU282,273,1,273,1445,450,722,100,499,6.71e-140,99.634,Chloroflexi,Anaerolineae,SBR1031,A4b,_,_,FJ152726.1.1445,Bacteria,OTU282.Chloroflexi._
281,OTU283,273,1,273,1515,511,783,100,499,6.71e-140,99.634,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4|lineage,metagenome,FPLS01033705.10.1524,Bacteria,OTU283.Planctomycetota.Pir4|lineage
282,OTU284,273,1,273,1520,517,789,100,394,3.26e-108,92.701,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,_,_,GU172185.1.1520,Bacteria,OTU284.Planctomycetota._
283,OTU285,273,1,273,1495,521,793,100,494,3.12e-138,99.267,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,_,_,JQ825051.1.1495,Bacteria,OTU285.Proteobacteria._
284,OTU286,273,1,273,1527,547,819,100,466,6.81e-130,97.436,Acidobacteriota,Subgroup|25,_,_,_,_,HQ190371.1.1527,Bacteria,OTU286.Acidobacteriota._
285,OTU287,273,1,273,1453,471,743,100,488,1.45e-136,98.901,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured|Sphingomonas|sp,KT122122.1.1453,Bacteria,OTU287.Proteobacteria.Sphingomonas
286,OTU288,274,1,274,1517,535,808,100,446,8.91e-124,95.985,Gemmatimonadota,PAUC43f|marine|benthic|group,_,_,_,_,HM598210.1.1517,Bacteria,OTU288.Gemmatimonadota._
287,OTU289,273,1,273,1348,470,743,100,438,1.48e-121,95.62,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101|soil|group,_,_,EU135123.1.1348,Bacteria,OTU289.Planctomycetota._
288,OTU290,273,1,273,1468,504,776,100,494,3.12e-138,99.267,Actinobacteriota,MB-A2-108,uncultured|actinobacterium,_,_,_,JN409077.1.1468,Bacteria,OTU290.Actinobacteriota._
289,OTU291,273,1,273,1497,499,771,100,444,3.19e-123,95.971,Chloroflexi,Chloroflexia,Thermomicrobiales,Thermomicrobiaceae,Sphaerobacter,_,JN091923.1.1497,Bacteria,OTU291.Chloroflexi.Sphaerobacter
290,OTU292,273,1,273,1478,516,788,100,483,6.76e-135,98.535,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup|10,Acidobacteria|bacterium|WY11,KC854954.1.1478,Bacteria,OTU292.Acidobacteriota.Subgroup|10
291,OTU293,273,1,273,1503,524,796,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,uncultured|beta|proteobacterium,_,EU979071.1.1503,Bacteria,OTU293.Proteobacteria.uncultured|beta|proteobacterium
292,OTU294,273,1,273,1458,461,733,100,444,3.19e-123,95.971,Chloroflexi,Anaerolineae,SBR1031,A4b,_,_,JQ425859.1.1458,Bacteria,OTU294.Chloroflexi._
293,OTU295,273,1,273,1445,433,705,100,472,1.46e-131,97.802,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,_,FJ152598.1.1445,Bacteria,OTU295.Proteobacteria.Afifella
294,OTU296,273,1,273,1458,487,759,100,494,3.12e-138,99.267,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101|soil|group,uncultured|Planctomycetia|bacterium,_,JX114462.1.1458,Bacteria,OTU296.Planctomycetota.uncultured|Planctomycetia|bacterium
295,OTU297,273,1,273,1403,480,752,100,449,6.86e-125,96.337,Chloroflexi,Chloroflexia,Thermomicrobiales,AKYG1722,uncultured|Chloroflexi|bacterium,_,JN825472.1.1403,Bacteria,OTU297.Chloroflexi.uncultured|Chloroflexi|bacterium
296,OTU298,273,1,273,1420,474,746,100,488,1.45e-136,98.901,Actinobacteriota,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,actinobacterium|NDZKDS33,KJ579964.1.1420,Bacteria,OTU298.Actinobacteriota.Glycomyces
297,OTU299,273,1,273,1451,483,755,100,488,1.45e-136,98.901,Acidobacteriota,Acidobacteriae,PAUC26f,_,_,_,GQ263375.1.1451,Bacteria,OTU299.Acidobacteriota._
298,OTU300,273,1,273,1327,481,753,100,438,1.48e-121,95.636,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,_,_,JF210530.1.1327,Bacteria,OTU300.Chloroflexi._
299,OTU301,273,1,273,1478,501,773,100,488,1.45e-136,98.901,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,_,DQ129385.1.1478,Bacteria,OTU301.Planctomycetota.Pirellula
300,OTU302,273,1,273,1548,534,806,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea|ananatis,CP028033.4030893.4032440,Bacteria,OTU302.Proteobacteria.Pantoea
301,OTU303,273,1,273,1505,525,797,100,444,3.19e-123,95.971,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,JTB255|marine|benthic|group,_,JQ800719.1.1505,Bacteria,OTU303.Proteobacteria.JTB255|marine|benthic|group
302,OTU304,273,1,273,1504,523,795,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,_,_,HQ190271.1.1504,Bacteria,OTU304.Proteobacteria._
303,OTU305,273,1,273,912,465,737,100,488,1.45e-136,98.901,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,uncultured|archaeon,_,HQ400564.1.912,Archaea,OTU305.Crenarchaeota.uncultured|archaeon
304,OTU306,273,1,273,1446,491,763,100,483,6.76e-135,98.535,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,_,uncultured|prokaryote,GU208295.1.1446,Bacteria,OTU306.Planctomycetota._
305,OTU307,274,1,274,1472,453,726,100,473,4.09e-132,97.81,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,_,uncultured|Acetobacteraceae|bacterium,HM438096.1.1472,Bacteria,OTU307.Proteobacteria._
306,OTU308,273,1,273,1362,450,722,100,427,3.21e-118,94.872,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured|organism,_,JN437141.1.1362,Bacteria,OTU308.Chloroflexi.uncultured|organism
307,OTU309,273,1,273,1302,306,578,100,494,3.12e-138,99.267,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus|safensis,MKXN01000017.65.1366,Bacteria,OTU309.Firmicutes.Bacillus
308,OTU310,273,1,273,1522,535,807,100,494,3.12e-138,99.267,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,metagenome,FPLS01034046.17.1538,Bacteria,OTU310.Verrucomicrobiota.Chthoniobacter
309,OTU311,274,1,274,1276,277,550,100,429,8.97e-119,94.909,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,_,metagenome,FPLS01010161.22.1297,Bacteria,OTU311.Planctomycetota._
310,OTU312,273,1,273,1445,479,751,100,433,6.91e-120,95.238,Gemmatimonadota,AKAU4049,_,_,_,_,DQ125826.1.1445,Bacteria,OTU312.Gemmatimonadota._
311,OTU313,273,1,273,1483,499,771,100,444,3.19e-123,95.985,Armatimonadota,_,_,_,_,_,FJ479177.1.1483,Bacteria,OTU313.Armatimonadota._
312,OTU314,273,1,273,1504,523,795,100,494,3.12e-138,99.267,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda|sp.|MAR_2010_75,JQNJ01000001.768010.769513,Bacteria,OTU314.Bacteroidota.Muricauda
313,OTU315,273,1,273,1530,548,820,100,488,1.45e-136,98.901,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,_,_,GQ396942.1.1530,Bacteria,OTU315.Acidobacteriota._
314,OTU316,273,1,273,1538,545,817,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria|Incertae|Sedis,Unknown|Family,_,_,JQ800910.1.1538,Bacteria,OTU316.Proteobacteria._
315,OTU317,273,1,273,1394,473,745,100,494,3.12e-138,99.267,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Thiobacillus,_,KX163902.1.1394,Bacteria,OTU317.Proteobacteria.Thiobacillus
316,OTU318,273,1,273,1484,519,791,100,477,3.15e-133,98.168,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,_,uncultured|Bacteroidetes|bacterium,HQ857681.1.1484,Bacteria,OTU318.Bacteroidota._
317,OTU319,273,1,273,1486,541,813,100,444,3.19e-123,95.971,Gemmatimonadota,AKAU4049,_,_,_,_,JQ738770.1.1486,Bacteria,OTU319.Gemmatimonadota._
318,OTU320,291,1,291,1540,505,797,100,490,4.34e-137,96.928,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,_,_,KC554981.1.1540,Bacteria,OTU320.Gemmatimonadota._
319,OTU321,273,1,273,1381,516,788,100,494,3.12e-138,99.267,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,_,_,EU132030.1.1381,Bacteria,OTU321.Acidobacteriota._
320,OTU322,273,1,273,1351,415,687,100,494,3.12e-138,99.267,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora|sp.|69,DQ513507.1.1351,Bacteria,OTU322.Actinobacteriota.Micromonospora
321,OTU323,273,1,273,1484,499,771,100,438,1.48e-121,95.604,Armatimonadota,_,_,_,_,_,FJ478555.1.1484,Bacteria,OTU323.Armatimonadota._
322,OTU324,121,1,121,1501,501,621,100,224,1.75e-57,100,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,metagenome,FPLS01056070.6.1506,Bacteria,OTU324.Actinobacteriota.Mycobacterium
323,OTU325,273,1,273,1373,509,781,100,494,3.12e-138,99.267,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,_,_,_,FJ004693.1.1373,Bacteria,OTU325.Acidobacteriota._
324,OTU326,273,1,273,1500,514,786,100,494,3.12e-138,99.267,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,uncultured|Planctomycetaceae|bacterium,FJ542976.1.1500,Bacteria,OTU326.Planctomycetota.Blastopirellula
325,OTU327,273,1,273,1501,525,797,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter|gudaonensis,DQ414419.1.1501,Bacteria,OTU327.Proteobacteria.Marinobacter
326,OTU328,273,1,273,1322,451,723,100,466,6.81e-130,97.436,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,_,_,LN569798.1.1322,Bacteria,OTU328.Proteobacteria._
327,OTU329,273,1,273,1463,489,761,100,494,3.12e-138,99.267,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101|soil|group,_,_,FJ444683.1.1463,Bacteria,OTU329.Planctomycetota._
328,OTU330,273,1,273,1443,467,739,100,483,6.76e-135,98.535,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101|soil|group,uncultured|soil|bacterium,_,AF507705.1.1443,Bacteria,OTU330.Planctomycetota.uncultured|soil|bacterium
329,OTU331,273,1,273,1465,486,758,100,488,1.45e-136,98.901,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,_,HQ190378.1.1465,Bacteria,OTU331.Acidobacteriota.Bryobacter
330,OTU332,273,2,273,1388,518,789,99,409,1.16e-112,93.75,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,_,_,FJ671122.1.1388,Bacteria,OTU332.Chloroflexi._
331,OTU333,273,1,273,1349,489,761,100,438,1.48e-121,95.62,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured|Chloroflexi|bacterium,_,AY921879.1.1349,Bacteria,OTU333.Chloroflexi.uncultured|Chloroflexi|bacterium
332,OTU334,273,1,273,1407,481,753,100,383,7.05e-105,91.971,Chloroflexi,Anaerolineae,SBR1031,uncultured|organism,_,_,JN485563.1.1407,Bacteria,OTU334.Chloroflexi._
333,OTU335,273,1,273,1505,527,799,100,472,1.46e-131,97.802,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,_,_,FJ478527.1.1505,Bacteria,OTU335.Actinobacteriota._
334,OTU336,273,1,273,1489,522,794,100,483,6.76e-135,98.535,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,_,uncultured|Chloroflexi|bacterium,JN038250.1.1489,Bacteria,OTU336.Chloroflexi._
335,OTU337,273,1,273,1447,481,753,100,472,1.46e-131,97.802,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,_,uncultured|soil|bacterium,AY493904.1.1447,Bacteria,OTU337.Planctomycetota._
336,OTU338,274,1,274,1364,427,700,100,479,8.78e-134,98.175,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,CENA533,Oscillatoriales|cyanobacterium|KSU-AQIQ-8,LN997858.1.1364,Bacteria,OTU338.Cyanobacteria.CENA533
337,OTU339,273,1,273,1477,509,781,100,438,1.48e-121,95.604,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,_,_,KF712614.1.1477,Bacteria,OTU339.Chloroflexi._
338,OTU340,273,1,273,1375,516,788,100,477,3.15e-133,98.168,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup|10,_,JQ408035.1.1375,Bacteria,OTU340.Acidobacteriota.Subgroup|10
339,OTU341,273,1,273,1314,458,730,100,472,1.46e-131,97.802,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus|Alysiosphaera,_,HM335869.1.1314,Bacteria,OTU341.Proteobacteria.Candidatus|Alysiosphaera
340,OTU342,274,1,274,1469,487,760,100,490,4.06e-137,98.905,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,_,HQ190565.1.1469,Bacteria,OTU342.Acidobacteriota.Bryobacter
341,OTU343,273,1,273,1464,468,740,100,483,6.76e-135,98.535,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,metagenome,FPLS01022981.20.1483,Bacteria,OTU343.Proteobacteria.Hyphomicrobium
342,OTU344,273,1,273,1466,497,769,100,499,6.71e-140,99.634,Chloroflexi,Anaerolineae,SBR1031,A4b,_,_,HQ697736.1.1466,Bacteria,OTU344.Chloroflexi._
343,OTU345,273,1,273,1431,472,744,100,488,1.45e-136,98.901,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,_,_,JQ801010.1.1431,Bacteria,OTU345.Proteobacteria._
344,OTU346,273,1,273,1377,511,783,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,_,_,EU133849.1.1377,Bacteria,OTU346.Proteobacteria._
345,OTU347,273,1,273,1499,519,791,100,444,3.19e-123,95.971,Proteobacteria,Gammaproteobacteria,Pseudomonadales,KI89A|clade,_,_,KT952676.1.1499,Bacteria,OTU347.Proteobacteria._
346,OTU348,273,1,273,1366,510,782,100,494,3.12e-138,99.267,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,_,HM269072.1.1366,Bacteria,OTU348.Actinobacteriota.Solirubrobacter
347,OTU349,273,1,273,1505,526,798,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azoarcus,_,KX348540.1.1505,Bacteria,OTU349.Proteobacteria.Azoarcus
348,OTU350,273,1,273,1515,538,810,100,477,3.15e-133,98.168,Gemmatimonadota,S0134|terrestrial|group,_,_,_,_,JQ825031.1.1515,Bacteria,OTU350.Gemmatimonadota._
349,OTU351,273,1,273,1499,529,801,100,377,3.28e-103,91.606,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,Ardenticatena,uncultured|Chloroflexi|bacterium,KM018536.1.1499,Bacteria,OTU351.Chloroflexi.Ardenticatena
350,OTU352,273,1,273,1505,510,782,100,427,3.21e-118,94.872,Chloroflexi,Anaerolineae,SBR1031,_,_,_,KM823731.1.1505,Bacteria,OTU352.Chloroflexi._
351,OTU353,274,1,274,1522,539,811,100,466,6.84e-130,97.445,Planctomycetota,OM190,_,_,_,_,KJ782955.1.1522,Bacteria,OTU353.Planctomycetota._
352,OTU354,273,1,273,1449,470,742,100,494,3.12e-138,99.267,Cyanobacteria,Cyanobacteriia,Oxyphotobacteria|Incertae|Sedis,Unknown|Family,uncultured|cyanobacterium,_,FJ517069.1.1449,Bacteria,OTU354.Cyanobacteria.uncultured|cyanobacterium
353,OTU355,273,1,273,1473,506,778,100,494,3.12e-138,99.267,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,_,uncultured|Chloroflexi|bacterium,HQ727653.1.1473,Bacteria,OTU355.Chloroflexi._
354,OTU356,273,1,273,1492,521,793,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,_,KX508776.1.1492,Bacteria,OTU356.Proteobacteria.Massilia
355,OTU357,273,1,273,1394,520,792,100,488,1.45e-136,98.901,NB1-j,_,_,_,_,_,LN565856.1.1394,Bacteria,OTU357.NB1-j._
356,OTU358,273,1,273,1336,474,746,100,483,6.76e-135,98.535,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,_,_,EU135064.1.1336,Bacteria,OTU358.Planctomycetota._
357,OTU359,273,1,273,1487,521,793,100,483,6.76e-135,98.535,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,_,_,HQ910286.1.1487,Bacteria,OTU359.Bacteroidota._
358,OTU360,273,1,273,1515,533,805,100,494,3.12e-138,99.267,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus,Bacillus|sp.|CNJ804|PL04,DQ448788.1.1515,Bacteria,OTU360.Firmicutes.Fictibacillus
359,OTU361,273,1,273,1357,501,773,100,483,6.76e-135,98.535,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,_,_,JF224996.1.1357,Bacteria,OTU361.Proteobacteria._
360,OTU362,273,1,273,1200,329,601,100,477,3.15e-133,98.168,Actinobacteriota,Actinobacteria,0319-7L14,uncultured|Actinomycetales|bacterium,_,_,LN555030.1.1200,Bacteria,OTU362.Actinobacteriota._
361,OTU363,273,1,273,1522,544,816,100,483,6.76e-135,98.535,Gemmatimonadota,BD2-11|terrestrial|group,_,_,_,_,JQ824907.1.1522,Bacteria,OTU363.Gemmatimonadota._
362,OTU364,273,1,273,1447,485,757,100,449,6.86e-125,96.35,Chloroflexi,Dehalococcoidia,S085,_,_,_,FJ479355.1.1447,Bacteria,OTU364.Chloroflexi._
363,OTU365,273,2,273,1463,499,770,99,409,1.16e-112,93.796,Chloroflexi,Chloroflexia,Thermomicrobiales,AKYG1722,uncultured|Sphaerobacter|sp,_,HQ183885.1.1463,Bacteria,OTU365.Chloroflexi.uncultured|Sphaerobacter|sp
364,OTU366,273,1,273,1372,448,720,100,466,6.81e-130,97.436,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,_,uncultured|Chloroflexi|bacterium,JN825474.1.1372,Bacteria,OTU366.Chloroflexi._
365,OTU367,273,1,273,1477,467,739,100,477,3.15e-133,98.168,Actinobacteriota,Actinobacteria,Euzebyales,Euzebyaceae,_,_,JQ425998.1.1477,Bacteria,OTU367.Actinobacteriota._
366,OTU368,273,2,273,1443,438,709,99,455,1.47e-126,96.691,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,uncultured|endolithic|bacterium,AB473908.1.1443,Bacteria,OTU368.Planctomycetota.Gemmata
367,OTU369,146,1,146,1352,626,771,100,259,6.06e-68,98.63,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,_,HM329034.1.1352,Bacteria,OTU369.Bacteroidota.Pontibacter
368,OTU370,273,1,273,1454,479,751,100,494,3.12e-138,99.267,Chloroflexi,KD4-96,_,_,_,_,KX753157.1.1454,Bacteria,OTU370.Chloroflexi._
369,OTU371,273,1,273,1310,447,719,100,488,1.45e-136,98.901,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,uncultured|archaeon,JN562364.1.1310,Archaea,OTU371.Crenarchaeota.Nitrosarchaeum
370,OTU372,273,1,273,1498,516,788,100,438,1.48e-121,95.604,Acidobacteriota,Holophagae,Subgroup|7,_,_,_,MF314493.1.1498,Bacteria,OTU372.Acidobacteriota._
371,OTU373,273,1,273,1445,484,756,100,483,6.76e-135,98.535,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,uncultured|Kineococcus|sp,HM241114.1.1445,Bacteria,OTU373.Actinobacteriota.Quadrisphaera
372,OTU374,273,1,273,1337,480,752,100,460,3.17e-128,97.07,Armatimonadota,_,_,_,_,_,EU135015.1.1337,Bacteria,OTU374.Armatimonadota._
373,OTU375,274,1,274,1422,468,741,100,479,8.78e-134,98.175,Patescibacteria,Saccharimonadia,Saccharimonadales,_,_,_,FJ542972.1.1422,Bacteria,OTU375.Patescibacteria._
374,OTU376,273,1,273,1343,484,756,100,494,3.12e-138,99.267,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,_,HM277697.1.1343,Bacteria,OTU376.Actinobacteriota.Microbacterium
375,OTU377,273,1,273,1509,498,770,100,457,4.1e-127,96.703,Gemmatimonadota,S0134|terrestrial|group,_,_,_,_,JQ426183.1.1509,Bacteria,OTU377.Gemmatimonadota._
376,OTU378,273,1,273,1493,494,766,100,494,3.12e-138,99.267,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,metagenome,FPLS01041677.14.1506,Bacteria,OTU378.Planctomycetota.Rhodopirellula
377,OTU379,273,1,273,1488,508,780,100,444,3.19e-123,95.985,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,_,JQ825021.1.1488,Bacteria,OTU379.Gemmatimonadota.Gemmatimonas
378,OTU380,273,1,273,1454,489,761,100,472,1.46e-131,97.802,Planctomycetota,Planctomycetes,Planctomycetales,_,_,_,GQ262849.1.1454,Bacteria,OTU380.Planctomycetota._
379,OTU381,121,1,121,1432,472,592,100,224,1.75e-57,100,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus|sp.|YU6,DQ011232.1.1432,Bacteria,OTU381.Actinobacteriota.Rhodococcus
380,OTU382,273,1,273,1421,476,748,100,424,4.16e-117,94.505,Chloroflexi,Anaerolineae,Ardenticatenales,_,uncultured|soil|bacterium,_,AY326635.1.1421,Bacteria,OTU382.Chloroflexi.uncultured|soil|bacterium
381,OTU383,273,1,273,1408,450,722,100,488,1.45e-136,98.901,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured|Alphaproteobacteria|bacterium,JF319174.1.1408,Bacteria,OTU383.Proteobacteria.Sphingomonas
382,OTU384,273,1,273,1514,539,811,100,488,1.45e-136,98.901,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,_,uncultured|Acidobacteria|bacterium,_,JN038957.1.1514,Bacteria,OTU384.Acidobacteriota.uncultured|Acidobacteria|bacterium
383,OTU385,273,1,273,1462,478,750,100,394,3.26e-108,92.674,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Candidatus|Chloroploca,compost|metagenome,ADGO01078803.501.1962,Bacteria,OTU385.Chloroflexi.Candidatus|Chloroploca
384,OTU386,273,1,273,1336,458,730,100,488,1.45e-136,98.901,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,_,_,JN801098.1.1336,Bacteria,OTU386.Proteobacteria._
385,OTU387,273,1,273,1463,482,754,100,494,3.12e-138,99.267,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,_,FJ479011.1.1463,Bacteria,OTU387.Planctomycetota.Gemmata
386,OTU388,273,1,273,1440,477,749,100,499,6.71e-140,99.634,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,1959-1,_,HQ397147.1.1440,Bacteria,OTU388.Chloroflexi.1959-1
387,OTU389,273,1,273,1414,455,727,100,494,3.12e-138,99.267,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc|PCC-7524,Nostoc|sp.|CAVN10,KJ511235.1.1414,Bacteria,OTU389.Cyanobacteria.Nostoc|PCC-7524
388,OTU390,273,1,273,1458,466,738,100,472,1.46e-131,97.802,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus|Nitrosotenuis,Thaumarchaeota|archaeon|MY2,AVSQ01000019.27413.28870,Archaea,OTU390.Crenarchaeota.Candidatus|Nitrosotenuis
389,OTU391,273,1,273,1371,488,760,100,499,6.71e-140,99.634,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101|soil|group,uncultured|planctomycete,_,AY922173.1.1371,Bacteria,OTU391.Planctomycetota.uncultured|planctomycete
390,OTU393,273,1,273,1463,484,756,100,483,6.76e-135,98.535,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,uncultured|Gemmata|sp,KM108648.1.1463,Bacteria,OTU393.Planctomycetota.Gemmata
391,OTU394,273,1,273,1493,499,773,100,379,9.13e-104,91.667,Chloroflexi,Anaerolineae,Ardenticatenales,_,_,_,JX504491.1.1493,Bacteria,OTU394.Chloroflexi._
392,OTU395,273,1,273,1518,523,795,100,488,1.45e-136,98.901,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,metagenome,FPLS01027818.8.1525,Bacteria,OTU395.Proteobacteria.Steroidobacter
